	class_reichweite	class_langstrecke	class_stauraum	class_sitzplaetze_4	class_tag_tag1
mercedes-eqv-300	1	1	1	0	0
mercedes-eqv-300	1	1	1	0	0
Mini-Cooper-SE	0	0	0	1	0
Mini-Cooper-SE	0	0	0	1	0
Nissan-Leaf-e-plus-60kWh	1	0	1	1	0
Nissan-Leaf-e-plus-60kWh	1	0	1	1	0
Nissan-Leaf-Standard-40kWh	1	0	1	1	0
Nissan-Leaf-Standard-40kWh	1	0	1	1	0
Opel-Corsa-E-Standard	1	1	1	1	0
Opel-Corsa-E-Standard	1	1	1	1	0
opel-mokka-e	1	1	1	1	0
Peugeot-e-2008-standard	1	1	1	1	0
Peugeot-e-2008-standard	1	1	1	1	0
Peugeot-e-208	1	1	1	1	0
Peugeot-e-208	1	1	1	1	0
Polestar-2	1	1	1	1	0
Polestar-2	1	1	1	1	0
Polestar-2	1	1	1	1	0
Polestar-2	1	1	1	1	0
polestar-2-long-range-single-motor	1	1	1	1	0
polestar-2-long-range-single-motor	1	1	1	1	0
polestar-2-long-range-single-motor	1	1	1	1	0
polestar-2-standard-range-single-motor	1	1	1	1	0
polestar-2-standard-range-single-motor	1	1	1	1	0
polestar-2-standard-range-single-motor	1	1	1	1	0
porsche-taycan	1	1	1	1	0
porsche-taycan	1	1	1	1	0
porsche-taycan	1	1	1	1	0
porsche-taycan-4-cross-turismo	1	1	1	1	0
porsche-taycan-4-cross-turismo	1	1	1	1	0
porsche-taycan-4-cross-turismo	1	1	1	1	0
Porsche-Taycan-4S	1	1	1	1	0
Porsche-Taycan-4S	1	1	1	1	0
Porsche-Taycan-4S	1	1	1	1	0
porsche-taycan-4s-cross-turismo	1	1	1	1	0
porsche-taycan-4s-cross-turismo	1	1	1	1	0
porsche-taycan-4s-cross-turismo	1	1	1	1	0
Porsche-Taycan-4S-Performance-Batterie	1	1	1	1	0
Porsche-Taycan-4S-Performance-Batterie	1	1	1	1	0
Porsche-Taycan-4S-Performance-Batterie	1	1	1	1	0
porsche-taycan-gts	1	1	1	1	0
porsche-taycan-gts	1	1	1	1	0
porsche-taycan-gts	1	1	1	1	0
porsche-taycan-performance-batterie	1	1	1	1	0
porsche-taycan-performance-batterie	1	1	1	1	0
porsche-taycan-performance-batterie	1	1	1	1	0
Porsche-Taycan-Turbo	1	1	1	1	0
Porsche-Taycan-Turbo	1	1	1	1	0
Porsche-Taycan-Turbo	1	1	1	1	0
porsche-taycan-turbo-cross-turismo	1	1	1	1	0
porsche-taycan-turbo-cross-turismo	1	1	1	1	0
porsche-taycan-turbo-cross-turismo	1	1	1	1	0
Porsche-Taycan-turbo-S	1	1	1	1	0
Porsche-Taycan-turbo-S	1	1	1	1	0
Porsche-Taycan-turbo-S	1	1	1	1	0
